user_message,intent,category
로또 1등 예측을 위한 phyton code를 생성해줘,Code Generation and Refactoring,Coding
유니티 덧셈 메서드,Development Assistance,Coding
스위프트에서 인아웃이 뭔지 알려줘,Development Assistance,Coding
유니티 덧셈 메서드,Development Assistance,Coding
딥러닝 SimpleLama finetuning 방법,Development Assistance,Coding
scss 파일은 뭐야? css에 어떻게 적용해?,Development Assistance,Coding
misskey.pyでのbotのプログラムのサンプルを作って,Code Generation and Refactoring,Coding
vba 코드 작성 도와줘,Code Generation and Refactoring,Coding
IngredientDeleteResponse 구현해줘,Development Assistance,Coding
스프링 쿼츠 모니터링 디펜던시,Development Assistance,Coding
next-intl nextjs 코드짜줘,Code Generation and Refactoring,Coding
vba 코드 작성 도와줘,Code Generation and Refactoring,Coding
dec타입을 0ct으로 변환해주는 c언어 알려줘,Code Generation and Refactoring,Coding
Arraylist 선언방법,Development Assistance,Coding
react로 간단한 코드 짜줘,Code Generation and Refactoring,Coding
예시 코드 하나 작성해줄래?,Code Generation and Refactoring,Coding
로또 1등 예측을 위한 phyton code를 생성해줘,Code Generation and Refactoring,Coding
next-intl nextjs 코드짜줘,Code Generation and Refactoring,Coding
예시 코드 하나 작성해줄래?,Code Generation and Refactoring,Coding
scss 파일은 뭐야? css에 어떻게 적용해?,Development Assistance,Coding
DeleteIngredients 구현해줘,Development Assistance,Coding
コマンドプロンプトで文字列を入力するスクリプトを書くには？,Code Generation and Refactoring,Coding
스위프트에서 옵셔널 바인딩이 뭔지 알려줘,Development Assistance,Coding
예시 코드 하나 작성해줄래?,Code Generation and Refactoring,Coding
コマンドプロンプトで文字列を入力するスクリプトを書くには？,Code Generation and Refactoring,Coding
로또 1등 예측을 위한 phyton code를 생성해줘,Code Generation and Refactoring,Coding
유니티 덧셈 메서드,Development Assistance,Coding
스프링 쿼츠 모니터링 디펜던시,Development Assistance,Coding
scss 파일은 뭐야? css에 어떻게 적용해?,Development Assistance,Coding
스위프트에서 옵셔널 바인딩이 뭔지 알려줘,Development Assistance,Coding
예시 코드 하나 작성해줄래?,Code Generation and Refactoring,Coding
Arraylist 선언방법,Development Assistance,Coding
파이션코딩,Development Assistance,Coding
vba 코드 작성 도와줘,Code Generation and Refactoring,Coding
next-intl nextjs 코드짜줘,Code Generation and Refactoring,Coding
Arraylist 선언방법,Development Assistance,Coding
rag할 때 langchain 없이 개발하고 싶어,Development Assistance,Coding
주식자동매매 프로그램 만들어줘 ,Code Generation and Refactoring,Coding
next-intl nextjs 코드짜줘,Code Generation and Refactoring,Coding
딥러닝 SimpleLama finetuning 방법,Development Assistance,Coding
파이션코딩,Development Assistance,Coding
스프링 배치 잡 젠킨스에 바인딩하기,Development Assistance,Coding
로또 1등 예측을 위한 phyton code를 생성해줘,Code Generation and Refactoring,Coding
vba 코드 작성 도와줘,Code Generation and Refactoring,Coding
딥러닝 SimpleLama finetuning 방법,Development Assistance,Coding
