user_message,intent,category,llm
이유없이 눈물나요,Chit-chat and Counseling,Others,gemini-mini
한글 철자 놀이,Gaming and Social Interaction,Others,gemini-mini
마귀의 궤궤,Chaotic,Others,gemini-mini
여기서 사진 보여주고 물어보려고해 어떻게해?,Assistant Inquiry,Others,gemini-mini
대지론소,Chaotic,Others,gemini-mini
"ㄴㄱㄴㅅㅌㅈ슈? 

자음인데 해석해줘",Linguistic Analysis,Others,gemini-mini
painting brings me joy,Chit-chat and Counseling,Others,gemini-mini
12월에 호주 골드코스트로 휴가를 갈 예정이야,Undefined,Others,gemini-mini
Don't let it be. 문장이 됩니까?,Linguistic Analysis,Others,gemini-mini
せっくす,Inappropriate Content Creation,Others,gemini-mini
난항을 겪다와 비슷한 말,Linguistic Analysis,Others,gemini-mini
IngredientDeleteResponse 구현해줘,Development Assistance,Coding,gpt-o1
misskey.pyでのbotのプログラムのサンプルを作って,Code Generation and Refactoring,Coding,gpt-o1
vba 코드 작성 도와줘,Code Generation and Refactoring,Coding,gpt-o1
엑셀 코드 생성이 필요해,Code Generation and Refactoring,Coding,gpt-o1
next-intl nextjs 코드짜줘,Code Generation and Refactoring,Coding,gpt-o1
딥러닝 SimpleLama finetuning 방법,Development Assistance,Coding,gpt-o1
IngredientDeleteResponse 구현해줘,Development Assistance,Coding,gpt-o1
유니티 덧셈 메서드,Development Assistance,Coding,gpt-o1
고화질 RPG 검사게임 코드 출력 해줘,Code Generation and Refactoring,Coding,gpt-o1
rag할 때 langchain 없이 개발하고 싶어,Development Assistance,Coding,gpt-o1
엑셀 코드 생성이 필요해,Code Generation and Refactoring,Coding,gpt-o1
엑셀 코드 생성이 필요해,Code Generation and Refactoring,Coding,gpt-o1
엑셀 컬색 카운트,Code Generation and Refactoring,Coding,gpt-o1
딥러닝 SimpleLama finetuning 방법,Development Assistance,Coding,gpt-o1
예시 코드 하나 작성해줄래?,Code Generation and Refactoring,Coding,gpt-o1
next-intl nextjs 코드짜줘,Code Generation and Refactoring,Coding,gpt-o1
엑셀 컬색 카운트,Code Generation and Refactoring,Coding,gpt-o1
dec타입을 0ct으로 변환해주는 c언어 알려줘,Code Generation and Refactoring,Coding,gpt-o1
コマンドプロンプトで文字列を入力するスクリプトを書くには？,Code Generation and Refactoring,Coding,gpt-o1
딥러닝 SimpleLama finetuning 방법,Development Assistance,Coding,gpt-o1
scss 파일은 뭐야? css에 어떻게 적용해?,Development Assistance,Coding,gpt-o1
엑셀 컬색 카운트,Code Generation and Refactoring,Coding,gpt-o1
스프링 쿼츠 모니터링 디펜던시,Development Assistance,Coding,gpt-o1
DeleteIngredients 구현해줘,Development Assistance,Coding,gpt-o1
scss 파일은 뭐야? css에 어떻게 적용해?,Development Assistance,Coding,gpt-o1
딥러닝 SimpleLama finetuning 방법,Development Assistance,Coding,gpt-o1
autohotkey v1 コートをv2に変換してください。,Code Generation and Refactoring,Coding,gpt-o1
스프링 쿼츠 모니터링 디펜던시,Development Assistance,Coding,gpt-o1
유니티 덧셈 메서드,Development Assistance,Coding,gpt-o1
コマンドプロンプトで文字列を入力するスクリプトを書くには？,Code Generation and Refactoring,Coding,gpt-o1
스프링 쿼츠 모니터링 디펜던시,Development Assistance,Coding,gpt-o1
주식자동매매 프로그램 만들어줘 ,Code Generation and Refactoring,Coding,gpt-o1
react로 간단한 코드 짜줘,Code Generation and Refactoring,Coding,gpt-o1
파이썬으로 리스트 만드는 방법을 알려줘,Development Assistance,Coding,gpt-o1
파이썬으로 리스트 만드는 방법을 알려줘,Development Assistance,Coding,gpt-o1
스위프트에서 옵셔널 바인딩이 뭔지 알려줘,Development Assistance,Coding,gpt-o1
파이션코딩,Development Assistance,Coding,gpt-o1
vba 코드 작성 도와줘,Code Generation and Refactoring,Coding,gpt-o1
vba 코드 작성 도와줘,Code Generation and Refactoring,Coding,gpt-o1
고화질 RPG 검사게임 코드 출력 해줘,Code Generation and Refactoring,Coding,gpt-o1
스프링 쿼츠 모니터링 디펜던시,Development Assistance,Coding,gpt-o1
rag할 때 langchain 없이 개발하고 싶어,Development Assistance,Coding,gpt-o1
misskey.pyでのbotのプログラムのサンプルを作って,Code Generation and Refactoring,Coding,gpt-o1
주식자동매매 프로그램 만들어줘 ,Code Generation and Refactoring,Coding,gpt-o1
dec타입을 0ct으로 변환해주는 c언어 알려줘,Code Generation and Refactoring,Coding,gpt-o1
Fully Connected Layer가 뭐야?,Development Assistance,Coding,gpt-o1
고화질 RPG 검사게임 코드 출력 해줘,Code Generation and Refactoring,Coding,gpt-o1
IngredientDeleteResponse 구현해줘,Development Assistance,Coding,gpt-o1
딥러닝 SimpleLama finetuning 방법,Development Assistance,Coding,gpt-o1
스위프트에서 인아웃이 뭔지 알려줘,Development Assistance,Coding,gpt-o1
IngredientDeleteResponse 구현해줘,Development Assistance,Coding,gpt-o1
로또 1등 예측을 위한 phyton code를 생성해줘,Code Generation and Refactoring,Coding,gpt-o1
예시 코드 하나 작성해줄래?,Code Generation and Refactoring,Coding,gpt-o1
주식자동매매 프로그램 만들어줘 ,Code Generation and Refactoring,Coding,gpt-o1
Arraylist 선언방법,Development Assistance,Coding,gpt-o1
로또 1등 예측을 위한 phyton code를 생성해줘,Code Generation and Refactoring,Coding,gpt-o1
유니티 덧셈 메서드,Development Assistance,Coding,gpt-o1
스위프트에서 인아웃이 뭔지 알려줘,Development Assistance,Coding,gpt-o1
유니티 덧셈 메서드,Development Assistance,Coding,gpt-o1
딥러닝 SimpleLama finetuning 방법,Development Assistance,Coding,gpt-o1
scss 파일은 뭐야? css에 어떻게 적용해?,Development Assistance,Coding,gpt-o1
misskey.pyでのbotのプログラムのサンプルを作って,Code Generation and Refactoring,Coding,gpt-o1
vba 코드 작성 도와줘,Code Generation and Refactoring,Coding,gpt-o1
IngredientDeleteResponse 구현해줘,Development Assistance,Coding,gpt-o1
스프링 쿼츠 모니터링 디펜던시,Development Assistance,Coding,gpt-o1
next-intl nextjs 코드짜줘,Code Generation and Refactoring,Coding,gpt-o1
vba 코드 작성 도와줘,Code Generation and Refactoring,Coding,gpt-o1
dec타입을 0ct으로 변환해주는 c언어 알려줘,Code Generation and Refactoring,Coding,gpt-o1
Arraylist 선언방법,Development Assistance,Coding,gpt-o1
react로 간단한 코드 짜줘,Code Generation and Refactoring,Coding,gpt-o1
예시 코드 하나 작성해줄래?,Code Generation and Refactoring,Coding,gpt-o1
로또 1등 예측을 위한 phyton code를 생성해줘,Code Generation and Refactoring,Coding,gpt-o1
next-intl nextjs 코드짜줘,Code Generation and Refactoring,Coding,gpt-o1
예시 코드 하나 작성해줄래?,Code Generation and Refactoring,Coding,gpt-o1
scss 파일은 뭐야? css에 어떻게 적용해?,Development Assistance,Coding,gpt-o1
DeleteIngredients 구현해줘,Development Assistance,Coding,gpt-o1
コマンドプロンプトで文字列を入力するスクリプトを書くには？,Code Generation and Refactoring,Coding,gpt-o1
스위프트에서 옵셔널 바인딩이 뭔지 알려줘,Development Assistance,Coding,gpt-o1
예시 코드 하나 작성해줄래?,Code Generation and Refactoring,Coding,gpt-o1
コマンドプロンプトで文字列を入力するスクリプトを書くには？,Code Generation and Refactoring,Coding,gpt-o1
로또 1등 예측을 위한 phyton code를 생성해줘,Code Generation and Refactoring,Coding,gpt-o1
유니티 덧셈 메서드,Development Assistance,Coding,gpt-o1
스프링 쿼츠 모니터링 디펜던시,Development Assistance,Coding,gpt-o1
scss 파일은 뭐야? css에 어떻게 적용해?,Development Assistance,Coding,gpt-o1
스위프트에서 옵셔널 바인딩이 뭔지 알려줘,Development Assistance,Coding,gpt-o1
예시 코드 하나 작성해줄래?,Code Generation and Refactoring,Coding,gpt-o1
Arraylist 선언방법,Development Assistance,Coding,gpt-o1
파이션코딩,Development Assistance,Coding,gpt-o1
vba 코드 작성 도와줘,Code Generation and Refactoring,Coding,gpt-o1
next-intl nextjs 코드짜줘,Code Generation and Refactoring,Coding,gpt-o1
Arraylist 선언방법,Development Assistance,Coding,gpt-o1
rag할 때 langchain 없이 개발하고 싶어,Development Assistance,Coding,gpt-o1
주식자동매매 프로그램 만들어줘 ,Code Generation and Refactoring,Coding,gpt-o1
next-intl nextjs 코드짜줘,Code Generation and Refactoring,Coding,gpt-o1
딥러닝 SimpleLama finetuning 방법,Development Assistance,Coding,gpt-o1
파이션코딩,Development Assistance,Coding,gpt-o1
스프링 배치 잡 젠킨스에 바인딩하기,Development Assistance,Coding,gpt-o1
로또 1등 예측을 위한 phyton code를 생성해줘,Code Generation and Refactoring,Coding,gpt-o1
vba 코드 작성 도와줘,Code Generation and Refactoring,Coding,gpt-o1
딥러닝 SimpleLama finetuning 방법,Development Assistance,Coding,gpt-o1
